No,Title,Filename,Part,Categories
21,Keep what they could not hold,Poems/Keep what they could not hold.md,Fortitude & Gentleness,Fortitude & Gentleness; Healing & Endurance; Nature as Teacher
22,The door left unbarred,Poems/The door left unbarred.md,Fortitude & Gentleness,Fortitude & Gentleness; Honor & Character
23,Kindness after the blow,Poems/Kindness after the blow.md,Fortitude & Gentleness,Fortitude & Gentleness; Healing & Endurance; Honor & Character
24,What the break did not take,Poems/What the break did not take.md,Fortitude & Gentleness,Fortitude & Gentleness; Healing & Endurance
25,No apology for the shade,Poems/No apology for the shade.md,Fortitude & Gentleness,Fortitude & Gentleness; Worth & Belonging; Honor & Character
26,What the blow did not take,Poems/What the blow did not take.md,Fortitude & Gentleness,Fortitude & Gentleness; Honor & Character
27,Trust the gentleness in you,Poems/Trust the gentleness in you.md,Fortitude & Gentleness,Fortitude & Gentleness; Worth & Belonging
28,Feeling deeply is not the flaw,Poems/Feeling deeply is not the flaw.md,Fortitude & Gentleness,Fortitude & Gentleness; Worth & Belonging
29,Strength is what you kept open,Poems/Strength is what you kept open.md,Fortitude & Gentleness,Fortitude & Gentleness; Honor & Character
30,Gentleness is a decision,Poems/Gentleness is a decision.md,Fortitude & Gentleness,Fortitude & Gentleness; Honor & Character
31,Do not apologize for gentleness,Poems/Do not apologize for gentleness.md,Fortitude & Gentleness,Fortitude & Gentleness; Honor & Character
32,When you love more than comes back to you,Poems/When you love more than comes back to you.md,Fortitude & Gentleness,Fortitude & Gentleness; Worth & Belonging; Healing & Endurance
33,The bravest thing you ever did,Poems/The bravest thing you ever did.md,Fortitude & Gentleness,Fortitude & Gentleness; Honor & Character
34,When the name you carry grows heavy,Poems/When the name you carry grows heavy.md,Fortitude & Gentleness,Fortitude & Gentleness; Healing & Endurance; Nature as Teacher
35,What survives rough hands,Poems/What survives rough hands.md,Fortitude & Gentleness,Fortitude & Gentleness; Healing & Endurance; Nature as Teacher
36,What it did not take,Poems/What it did not take.md,Fortitude & Gentleness,Fortitude & Gentleness; Healing & Endurance
37,Hope is a discipline,Poems/Hope is a discipline.md,Fortitude & Gentleness,Fortitude & Gentleness; Faith & Reverence
38,After all of it,Poems/After all of it.md,Fortitude & Gentleness,Fortitude & Gentleness; Grace & Self-Forgiveness
39,The strongest kind of man,Poems/The strongest kind of man.md,Fortitude & Gentleness,Fortitude & Gentleness; Honor & Character
40,Let it begin with your hands,Poems/Let it begin with your hands.md,Fortitude & Gentleness,Fortitude & Gentleness; Nature as Teacher
41,Put the stones down,Poems/Put the stones down.md,Fortitude & Gentleness,Fortitude & Gentleness; Healing & Endurance; Grace & Self-Forgiveness
42,Gentleness is not weakness,Poems/Gentleness is not weakness.md,Fortitude & Gentleness,Fortitude & Gentleness; Nature as Teacher
43,The measure was never hardness,Poems/The measure was never hardness.md,Fortitude & Gentleness,Fortitude & Gentleness; Healing & Endurance; Honor & Character
44,If the door still opens,Poems/If the door still opens.md,Fortitude & Gentleness,Fortitude & Gentleness; Worth & Belonging
45,The bravest thing you did,Poems/The bravest thing you did.md,Fortitude & Gentleness,Fortitude & Gentleness; Honor & Character
46,Not how strong it made you,Poems/Not how strong it made you.md,Fortitude & Gentleness,Fortitude & Gentleness; Healing & Endurance
47,"Look at you, still standing","Poems/Look at you, still standing.md",Fortitude & Gentleness,Fortitude & Gentleness; Healing & Endurance
48,What if the measure was never strength,Poems/What if the measure was never strength.md,Fortitude & Gentleness,Fortitude & Gentleness; Healing & Endurance
49,A gentle man was not spared,Poems/A gentle man was not spared.md,Fortitude & Gentleness,Fortitude & Gentleness; Honor & Character
50,What held the wall,Poems/What held the wall.md,Fortitude & Gentleness,Fortitude & Gentleness; Healing & Endurance
51,The strength it took,Poems/The strength it took.md,Fortitude & Gentleness,Fortitude & Gentleness; Honor & Character
52,Keep your heart from hardening,Poems/Keep your heart from hardening.md,Fortitude & Gentleness,Fortitude & Gentleness; Honor & Character
53,Only to keep turning,Poems/Only to keep turning.md,Healing & Endurance,Healing & Endurance; Fortitude & Gentleness
54,Let the body do its part,Poems/Let the body do its part.md,Healing & Endurance,Healing & Endurance; Fortitude & Gentleness
55,Let it move through,Poems/Let it move through.md,Healing & Endurance,Healing & Endurance; Nature as Teacher
56,Healing is not the pain leaving,Poems/Healing is not the pain leaving.md,Healing & Endurance,Healing & Endurance; Fortitude & Gentleness; Faith & Reverence
57,What the dark still holds,Poems/What the dark still holds.md,Healing & Endurance,Healing & Endurance; Nature as Teacher
58,What did not harden,Poems/What did not harden.md,Healing & Endurance,Healing & Endurance; Fortitude & Gentleness
59,Set the bone first,Poems/Set the bone first.md,Healing & Endurance,Healing & Endurance; Growth & Becoming; Rest & Stillness
60,Put down the act,Poems/Put down the act.md,Healing & Endurance,Healing & Endurance; Grace & Self-Forgiveness; Honor & Character
61,The reason came after,Poems/The reason came after.md,Healing & Endurance,Healing & Endurance; Growth & Becoming
62,Not to make you stronger,Poems/Not to make you stronger.md,Healing & Endurance,Healing & Endurance; Grief & Loss; Nature as Teacher
63,The weight no one lifted,Poems/The weight no one lifted.md,Healing & Endurance,Healing & Endurance; Fatherhood & Duty; Fortitude & Gentleness
64,Spring does not ask for an apology,Poems/Spring does not ask for an apology.md,Healing & Endurance,Healing & Endurance; Seasons & Letters; Nature as Teacher
65,"Count the harvest, not the rain","Poems/Count the harvest, not the rain.md",Healing & Endurance,Healing & Endurance; Growth & Becoming; Nature as Teacher
66,A chair for the pain,Poems/A chair for the pain.md,Healing & Endurance,Healing & Endurance; Fortitude & Gentleness
67,You have not lost the light,Poems/You have not lost the light.md,Healing & Endurance,Healing & Endurance; Worth & Belonging; Nature as Teacher
68,A steady love will find you,Poems/A steady love will find you.md,Healing & Endurance,Healing & Endurance; Worth & Belonging; Seasons & Letters
69,"Not how much, but how","Poems/Not how much, but how.md",Healing & Endurance,Healing & Endurance; Fortitude & Gentleness
70,Healing does not remove the weight,Poems/Healing does not remove the weight.md,Healing & Endurance,Healing & Endurance; Fortitude & Gentleness
71,Be home when it arrives,Poems/Be home when it arrives.md,Healing & Endurance,Healing & Endurance; Rest & Stillness
72,You do not have to hold it all together,Poems/You do not have to hold it all together.md,Healing & Endurance,Healing & Endurance; Grace & Self-Forgiveness; Fortitude & Gentleness
73,Give the pain a chair,Poems/Give the pain a chair.md,Healing & Endurance,Healing & Endurance; Fortitude & Gentleness; Grace & Self-Forgiveness
74,Some days are for holding the line,Poems/Some days are for holding the line.md,Healing & Endurance,Healing & Endurance; Grace & Self-Forgiveness
75,How the orchard forgives the frost,Poems/How the orchard forgives the frost.md,Healing & Endurance,Healing & Endurance; Nature as Teacher; Grace & Self-Forgiveness
76,One day the ledger balances,Poems/One day the ledger balances.md,Healing & Endurance,Healing & Endurance; Grace & Self-Forgiveness; Growth & Becoming
77,The well still gives,Poems/The well still gives.md,Healing & Endurance,Healing & Endurance; Fortitude & Gentleness
78,You do not have to prove it,Poems/You do not have to prove it.md,Healing & Endurance,Healing & Endurance; Fortitude & Gentleness; Grace & Self-Forgiveness
79,I told my heart to keep going,Poems/I told my heart to keep going.md,Healing & Endurance,Healing & Endurance; Honor & Character
80,I once thought winter was a boy like me,Poems/I once thought winter was a boy like me.md,Growth & Becoming,Growth & Becoming; Honor & Character; Seasons & Letters
81,Let me wear the new day,Poems/Let me wear the new day.md,Growth & Becoming,Growth & Becoming; Fortitude & Gentleness
82,Ask what the fear is made of,Poems/Ask what the fear is made of.md,Growth & Becoming,Growth & Becoming; Fortitude & Gentleness
83,The acres you have not walked,Poems/The acres you have not walked.md,Growth & Becoming,Growth & Becoming; Rest & Stillness; Nature as Teacher
84,Unfamiliar ground,Poems/Unfamiliar ground.md,Growth & Becoming,Growth & Becoming; Fortitude & Gentleness
85,The field was never dead,Poems/The field was never dead.md,Growth & Becoming,Growth & Becoming; Seasons & Letters; Nature as Teacher
86,Patience at the forge,Poems/Patience at the forge.md,Growth & Becoming,Growth & Becoming; Grace & Self-Forgiveness
87,No one calls the wheat slow,Poems/No one calls the wheat slow.md,Growth & Becoming,Growth & Becoming; Nature as Teacher; Rest & Stillness
88,Not starting over,Poems/Not starting over.md,Growth & Becoming,Growth & Becoming; Grace & Self-Forgiveness
89,The river keeps its name,Poems/The river keeps its name.md,Growth & Becoming,Growth & Becoming; Nature as Teacher
90,The tools are where you left them,Poems/The tools are where you left them.md,Growth & Becoming,Growth & Becoming; Healing & Endurance
91,The next step,Poems/The next step.md,Growth & Becoming,Growth & Becoming; Fortitude & Gentleness
92,Starting over is not defeat,Poems/Starting over is not defeat.md,Growth & Becoming,Growth & Becoming; Healing & Endurance
93,Remember there is no hurry,Poems/Remember there is no hurry.md,Growth & Becoming,Growth & Becoming; Nature as Teacher; Rest & Stillness
94,Set the seed in unfamiliar ground,Poems/Set the seed in unfamiliar ground.md,Growth & Becoming,Growth & Becoming; Grace & Self-Forgiveness; Letting Go
95,A seat at the table,Poems/A seat at the table.md,Growth & Becoming,Growth & Becoming; Healing & Endurance; Grace & Self-Forgiveness
96,You were never behind,Poems/You were never behind.md,Growth & Becoming,Growth & Becoming; Grace & Self-Forgiveness
97,Eighty beats a second,Poems/Eighty beats a second.md,Growth & Becoming,Growth & Becoming; Nature as Teacher
98,Every man I have been,Poems/Every man I have been.md,Growth & Becoming,Growth & Becoming; Grace & Self-Forgiveness
99,The shape already in the iron,Poems/The shape already in the iron.md,Growth & Becoming,Growth & Becoming; Faith & Reverence
100,One day you will see it plainly,Poems/One day you will see it plainly.md,Growth & Becoming,Growth & Becoming; Grace & Self-Forgiveness
101,Have patience with yourself,Poems/Have patience with yourself.md,Growth & Becoming,Growth & Becoming; Grace & Self-Forgiveness
102,Every phase carries light,Poems/Every phase carries light.md,Grace & Self-Forgiveness,Grace & Self-Forgiveness; Nature as Teacher
103,Grace for this body,Poems/Grace for this body.md,Grace & Self-Forgiveness,Grace & Self-Forgiveness; Healing & Endurance
104,The oak is not late,Poems/The oak is not late.md,Grace & Self-Forgiveness,Grace & Self-Forgiveness; Growth & Becoming; Nature as Teacher
105,You would give any man time,Poems/You would give any man time.md,Grace & Self-Forgiveness,Grace & Self-Forgiveness; Growth & Becoming
106,You forgive the sky its rain,Poems/You forgive the sky its rain.md,Grace & Self-Forgiveness,Grace & Self-Forgiveness; Healing & Endurance; Nature as Teacher
107,Stand on the ground you have,Poems/Stand on the ground you have.md,Grace & Self-Forgiveness,Grace & Self-Forgiveness; Growth & Becoming
108,Forgive the man you were,Poems/Forgive the man you were.md,Grace & Self-Forgiveness,Grace & Self-Forgiveness; Growth & Becoming
109,Grace for what survived,Poems/Grace for what survived.md,Grace & Self-Forgiveness,Grace & Self-Forgiveness; Healing & Endurance
110,A kinder foreman,Poems/A kinder foreman.md,Grace & Self-Forgiveness,Grace & Self-Forgiveness; Healing & Endurance
111,Not everything is a repair,Poems/Not everything is a repair.md,Grace & Self-Forgiveness,Grace & Self-Forgiveness; Letting Go
112,The same man walks out,Poems/The same man walks out.md,Grace & Self-Forgiveness,Grace & Self-Forgiveness; Letting Go
113,Mercy runs forward,Poems/Mercy runs forward.md,Grace & Self-Forgiveness,Grace & Self-Forgiveness; Growth & Becoming
114,Grace for the man who got through,Poems/Grace for the man who got through.md,Grace & Self-Forgiveness,Grace & Self-Forgiveness; Healing & Endurance
115,Mercy for the parts that survived,Poems/Mercy for the parts that survived.md,Grace & Self-Forgiveness,Grace & Self-Forgiveness; Healing & Endurance
116,Forgive yourself the storms,Poems/Forgive yourself the storms.md,Grace & Self-Forgiveness,Grace & Self-Forgiveness; Nature as Teacher
117,Grace for the body that carries me,Poems/Grace for the body that carries me.md,Grace & Self-Forgiveness,Grace & Self-Forgiveness; Rest & Stillness
118,He was working with less light,Poems/He was working with less light.md,Grace & Self-Forgiveness,Grace & Self-Forgiveness; Growth & Becoming
119,Grace for the parts that survived,Poems/Grace for the parts that survived.md,Grace & Self-Forgiveness,Grace & Self-Forgiveness; Healing & Endurance
120,Thank the crew that brought you in,Poems/Thank the crew that brought you in.md,Grace & Self-Forgiveness,Grace & Self-Forgiveness; Healing & Endurance; Honor & Character
121,They stood the watch,Poems/They stood the watch.md,Grace & Self-Forgiveness,Grace & Self-Forgiveness; Healing & Endurance
122,I watched the dawn come down,Poems/I watched the dawn come down.md,Grace & Self-Forgiveness,Grace & Self-Forgiveness; Nature as Teacher
123,Stand in the new snow,Poems/Stand in the new snow.md,Rest & Stillness,Rest & Stillness; Nature as Teacher; Fortitude & Gentleness
124,Peace is not a windless sky,Poems/Peace is not a windless sky.md,Rest & Stillness,Rest & Stillness; Fortitude & Gentleness
125,Rest is a form of trust,Poems/Rest is a form of trust.md,Rest & Stillness,Rest & Stillness; Faith & Reverence
126,Not every storm is yours to face,Poems/Not every storm is yours to face.md,Rest & Stillness,Rest & Stillness; Healing & Endurance
127,Winter is not a sentence,Poems/Winter is not a sentence.md,Rest & Stillness,Rest & Stillness; Seasons & Letters; Nature as Teacher
128,Rest is not the pause,Poems/Rest is not the pause.md,Rest & Stillness,Rest & Stillness; Healing & Endurance
129,Gentleness is enough of a goal,Poems/Gentleness is enough of a goal.md,Rest & Stillness,Rest & Stillness; Fortitude & Gentleness; Worth & Belonging
130,Peace is not a grip,Poems/Peace is not a grip.md,Rest & Stillness,Rest & Stillness; Letting Go
131,Put the problem down for the night,Poems/Put the problem down for the night.md,Rest & Stillness,Rest & Stillness; Nature as Teacher
132,Roots go down in winter,Poems/Roots go down in winter.md,Rest & Stillness,Rest & Stillness; Growth & Becoming; Nature as Teacher
133,Alone was never the problem,Poems/Alone was never the problem.md,Rest & Stillness,Rest & Stillness; Growth & Becoming; Worth & Belonging
134,Give yourself leave to rest,Poems/Give yourself leave to rest.md,Rest & Stillness,Rest & Stillness; Nature as Teacher
135,In the lean months,Poems/In the lean months.md,Rest & Stillness,Rest & Stillness; Healing & Endurance; Nature as Teacher
136,"Dear June, remind me","Poems/Dear June, remind me.md",Rest & Stillness,Rest & Stillness; Seasons & Letters
137,Leave the window open,Poems/Leave the window open.md,Rest & Stillness,Rest & Stillness; Healing & Endurance
138,Keep the window open,Poems/Keep the window open.md,Rest & Stillness,Rest & Stillness; Healing & Endurance
139,Still enough to hear it,Poems/Still enough to hear it.md,Rest & Stillness,Rest & Stillness; Nature as Teacher; Fortitude & Gentleness
140,What your hands are for,Poems/What your hands are for.md,Rest & Stillness,Rest & Stillness; Fortitude & Gentleness; Nature as Teacher
141,Make no apology for the rest,Poems/Make no apology for the rest.md,Rest & Stillness,Rest & Stillness; Grace & Self-Forgiveness; Worth & Belonging
142,I want the composure of September,Poems/I want the composure of September.md,Rest & Stillness,Rest & Stillness; Seasons & Letters; Nature as Teacher
143,Worthy of its return,Poems/Worthy of its return.md,Worth & Belonging,Worth & Belonging; Honor & Character
144,Worth does not move with the water,Poems/Worth does not move with the water.md,Worth & Belonging,Worth & Belonging; Rest & Stillness; Nature as Teacher
145,Go stand in the sun,Poems/Go stand in the sun.md,Worth & Belonging,Worth & Belonging; Nature as Teacher
146,Not everyone speaks it,Poems/Not everyone speaks it.md,Worth & Belonging,Worth & Belonging; Fortitude & Gentleness
147,Nothing left to prove,Poems/Nothing left to prove.md,Worth & Belonging,Worth & Belonging; Honor & Character
148,A chair set for you,Poems/A chair set for you.md,Worth & Belonging,Worth & Belonging; Fortitude & Gentleness
149,Stand still and let them look,Poems/Stand still and let them look.md,Worth & Belonging,Worth & Belonging; Fortitude & Gentleness
150,Some days you let the ground hold you,Poems/Some days you let the ground hold you.md,Worth & Belonging,Worth & Belonging; Healing & Endurance; Rest & Stillness
151,The house you come home to,Poems/The house you come home to.md,Worth & Belonging,Worth & Belonging; Grace & Self-Forgiveness; Rest & Stillness
152,Nothing in the field withholds,Poems/Nothing in the field withholds.md,Worth & Belonging,Worth & Belonging; Nature as Teacher; Honor & Character
153,Before anyone is awake,Poems/Before anyone is awake.md,Worth & Belonging,Worth & Belonging; Honor & Character; Nature as Teacher
154,What if I am a quieter thing,Poems/What if I am a quieter thing.md,Worth & Belonging,Worth & Belonging; Nature as Teacher
155,May you never cut yourself down to size,Poems/May you never cut yourself down to size.md,Worth & Belonging,Worth & Belonging; Fatherhood & Duty; Fortitude & Gentleness
156,Kneeling is its own prayer,Poems/Kneeling is its own prayer.md,Fatherhood & Duty,Fatherhood & Duty; Faith & Reverence
157,What I carry there,Poems/What I carry there.md,Fatherhood & Duty,Fatherhood & Duty; Honor & Character
158,Tell me this is not prayer,Poems/Tell me this is not prayer.md,Fatherhood & Duty,Fatherhood & Duty; Faith & Reverence
159,Nothing gets done with you here,Poems/Nothing gets done with you here.md,Fatherhood & Duty,Fatherhood & Duty; Letting Go
160,No one told me about the arms,Poems/No one told me about the arms.md,Fatherhood & Duty,Fatherhood & Duty; Letting Go
161,I keep saying I will make time for prayer,Poems/I keep saying I will make time for prayer.md,Fatherhood & Duty,Fatherhood & Duty; Faith & Reverence
162,It took becoming a father,Poems/It took becoming a father.md,Fatherhood & Duty,Fatherhood & Duty; Grace & Self-Forgiveness; Growth & Becoming
163,When my back aches from being a father,Poems/When my back aches from being a father.md,Fatherhood & Duty,Fatherhood & Duty; Nature as Teacher; Healing & Endurance
164,You were built to feel,Poems/You were built to feel.md,Fatherhood & Duty,Fatherhood & Duty; Fortitude & Gentleness; Grace & Self-Forgiveness
165,Stone fruit season,Poems/Stone fruit season.md,Fatherhood & Duty,Fatherhood & Duty; Nature as Teacher; Seasons & Letters
166,Winters that were never mine,Poems/Winters that were never mine.md,Letting Go,Letting Go; Fortitude & Gentleness; Growth & Becoming
167,Winters that were never yours,Poems/Winters that were never yours.md,Letting Go,Letting Go; Seasons & Letters
168,You do not need the whole map,Poems/You do not need the whole map.md,Letting Go,Letting Go; Growth & Becoming
169,The man you would have been,Poems/The man you would have been.md,Letting Go,Letting Go; Growth & Becoming; Healing & Endurance
170,What made the difference,Poems/What made the difference.md,Letting Go,Letting Go; Fortitude & Gentleness
171,Only what is yours,Poems/Only what is yours.md,Letting Go,Letting Go; Honor & Character
172,What May taught me,Poems/What May taught me.md,Letting Go,Letting Go; Seasons & Letters; Nature as Teacher
173,Set down what was never yours,Poems/Set down what was never yours.md,Letting Go,Letting Go; Rest & Stillness
174,What the ground does with what falls,Poems/What the ground does with what falls.md,Letting Go,Letting Go; Healing & Endurance; Nature as Teacher
175,A note for the new month,Poems/A note for the new month.md,Seasons & Letters,Seasons & Letters; Nature as Teacher; Letting Go
176,Come back out,Poems/Come back out.md,Seasons & Letters,Seasons & Letters; Healing & Endurance; Nature as Teacher
177,"Dear summer, remind me","Poems/Dear summer, remind me.md",Seasons & Letters,Seasons & Letters; Rest & Stillness
178,"Dear July, the long light","Poems/Dear July, the long light.md",Seasons & Letters,Seasons & Letters; Worth & Belonging
179,"Dear July, the middle of the year","Poems/Dear July, the middle of the year.md",Seasons & Letters,Seasons & Letters; Rest & Stillness
180,"Dear August, be patient","Poems/Dear August, be patient.md",Seasons & Letters,Seasons & Letters; Rest & Stillness
181,No one saw the climb,Poems/No one saw the climb.md,Honor & Character,Honor & Character; Healing & Endurance; Worth & Belonging
182,Not the distance,Poems/Not the distance.md,Honor & Character,Honor & Character; Growth & Becoming
183,Ask what held,Poems/Ask what held.md,Honor & Character,Honor & Character; Growth & Becoming
184,What if it was never the changing,Poems/What if it was never the changing.md,Honor & Character,Honor & Character; Growth & Becoming
185,The fullness of God in a chamomile flower,Poems/The fullness of God in a chamomile flower.md,Faith & Reverence,Faith & Reverence; Nature as Teacher
186,The way the earth turns,Poems/The way the earth turns.md,Faith & Reverence,Faith & Reverence; Healing & Endurance; Fortitude & Gentleness
187,Letters I have not opened,Poems/Letters I have not opened.md,Faith & Reverence,Faith & Reverence; Growth & Becoming
188,Winter still sits in my shoulders,Poems/Winter still sits in my shoulders.md,Grief & Loss,Grief & Loss; Healing & Endurance
189,What are tears,Poems/What are tears.md,Grief & Loss,Grief & Loss; Fortitude & Gentleness
190,The oak is in no hurry,Poems/The oak is in no hurry.md,Nature as Teacher,Nature as Teacher; Growth & Becoming; Rest & Stillness
191,Where my feet are,Poems/Where my feet are.md,Nature as Teacher,Nature as Teacher; Healing & Endurance
